Input,Output,Time
0.4302,150,0
0.4302,150,0.01
0.4302,150,0.02
0.4302,150,0.03
0.4302,150,0.04
0.4302,150,0.05
0.4302,150,0.06
0.4302,150,0.07
0.4302,150,0.08
0.4302,150,0.09
0.4302,150,0.1
0.4302,150,0.11
0.4302,150,0.12
0.4302,150,0.13
0.4302,150,0.14
0.4302,150,0.15
0.4302,150,0.16
0.4302,150,0.17
0.4302,150,0.18
0.4302,150,0.19
0.4302,150,0.2
0.4302,150,0.21
0.4302,150,0.22
0.4302,150,0.23
0.4302,150,0.24
0.4302,150,0.25
0.4302,150,0.26
0.4302,150,0.27
0.4302,150,0.28
0.4302,150,0.29
0.4302,150,0.3
0.4302,150,0.31
0.4302,150,0.32
0.4302,150,0.33
0.4302,150,0.34
0.4302,150,0.35
0.4302,150,0.36
0.4302,150,0.37
0.4302,150,0.38
0.4302,150,0.39
0.4302,150,0.4
0.4302,150,0.41
0.4302,150,0.42
0.4302,150,0.43
0.4302,150,0.44
0.4302,150,0.45
0.4302,150,0.46
0.4302,150,0.47
0.4302,150,0.48
0.4302,150,0.49
0.4302,150,0.5
0.4302,150,0.51
0.4302,150,0.52
0.4302,150,0.53
0.4302,150,0.54
0.4302,150,0.55
0.4302,150,0.56
0.4302,150,0.57
0.4302,150,0.58
0.4302,150,0.59
0.4302,150,0.6
0.4302,150,0.61
0.4302,150,0.62
0.4302,150,0.63
0.4302,150,0.64
0.4302,150,0.65
0.4302,150,0.66
0.4302,150,0.67
0.4302,150,0.68
0.4302,150,0.69
0.4302,150,0.7
0.4302,150,0.71
0.4302,150,0.72
0.4302,150,0.73
0.4302,150,0.74
0.4302,150,0.75
0.4302,150,0.76
0.4302,150,0.77
0.4302,150,0.78
0.4302,150,0.79
0.4302,150,0.8
0.4302,150,0.81
0.4302,150,0.82
0.4302,150,0.83
0.4302,150,0.84
0.4302,150,0.85
0.4302,150,0.86
0.4302,150,0.87
0.4302,150,0.88
0.4302,150,0.89
0.4302,150,0.9
0.4302,150,0.91
0.4302,150,0.92
0.4302,150,0.93
0.4302,150,0.94
0.4302,150,0.95
0.4302,150,0.96
0.4302,150,0.97
0.4302,150,0.98
0.4302,150,0.99
0.4302,150,1
0.4302,150,1.01
0.4302,150,1.02
0.4302,150,1.03
0.4302,150,1.04
0.4302,150,1.05
0.4302,150,1.06
0.4302,150,1.07
0.4302,150,1.08
0.4302,150,1.09
0.4302,150,1.1
0.4302,150,1.11
0.4302,150,1.12
0.4302,150,1.13
0.4302,150,1.14
0.4302,150,1.15
0.4302,150,1.16
0.4302,150,1.17
0.4302,150,1.18
0.4302,150,1.19
0.4302,150,1.2
0.4302,150,1.21
0.4302,150,1.22
0.4302,150,1.23
0.4302,150,1.24
0.4302,150,1.25
0.4302,150,1.26
0.4302,150,1.27
0.4302,150,1.28
0.4302,150,1.29
0.4302,150,1.3
0.4302,150,1.31
0.4302,150,1.32
0.4302,150,1.33
0.4302,150,1.34
0.4302,150,1.35
0.4302,150,1.36
0.4302,150,1.37
0.4302,150,1.38
0.4302,150,1.39
0.4302,150,1.4
0.4302,150,1.41
0.4302,150,1.42
0.4302,150,1.43
0.4302,150,1.44
0.4302,150,1.45
0.4302,150,1.46
0.4302,150,1.47
0.4302,150,1.48
0.4302,150,1.49
0.4302,150,1.5
0.4302,150,1.51
0.4302,150,1.52
0.4302,150,1.53
0.4302,150,1.54
0.4302,150,1.55
0.4302,150,1.56
0.4302,150,1.57
0.4302,150,1.58
0.4302,150,1.59
0.4302,150,1.6
0.4302,150,1.61
0.4302,150,1.62
0.4302,150,1.63
0.4302,150,1.64
0.4302,150,1.65
0.4302,150,1.66
0.4302,150,1.67
0.4302,150,1.68
0.4302,150,1.69
0.4302,150,1.7
0.4302,150,1.71
0.4302,150,1.72
0.4302,150,1.73
0.4302,150,1.74
0.4302,150,1.75
0.4302,150,1.76
0.4302,150,1.77
0.4302,150,1.78
0.4302,150,1.79
0.4302,150,1.8
0.4302,150,1.81
0.4302,150,1.82
0.4302,150,1.83
0.4302,150,1.84
0.4302,150,1.85
0.4302,150,1.86
0.4302,150,1.87
0.4302,150,1.88
0.4302,150,1.89
0.4302,150,1.9
0.4302,150,1.91
0.4302,150,1.92
0.4302,150,1.93
0.4302,150,1.94
0.4302,150,1.95
0.4302,150,1.96
0.4302,150,1.97
0.4302,150,1.98
0.4302,150,1.99
0.4302,150,2
0.4302,150,2.01
0.4302,150,2.02
0.4302,150,2.03
0.4302,150,2.04
0.4302,150,2.05
0.4302,150,2.06
0.4302,150,2.07
0.4302,150,2.08
0.4302,150,2.09
0.4302,150,2.1
0.4302,150,2.11
0.4302,150,2.12
0.4302,150,2.13
0.4302,150,2.14
0.4302,150,2.15
0.4302,150,2.16
0.4302,150,2.17
0.4302,150,2.18
0.4302,150,2.19
0.4302,150,2.2
0.4302,150,2.21
0.4302,150,2.22
0.4302,150,2.23
0.4302,150,2.24
0.4302,150,2.25
0.4302,150,2.26
0.4302,150,2.27
0.4302,150,2.28
0.4302,150,2.29
0.4302,150,2.3
0.4302,150,2.31
0.4302,150,2.32
0.4302,150,2.33
0.4302,150,2.34
0.4302,150,2.35
0.4302,150,2.36
0.4302,150,2.37
0.4302,150,2.38
0.4302,150,2.39
0.4302,150,2.4
0.4302,150,2.41
0.4302,150,2.42
0.4302,150,2.43
0.4302,150,2.44
0.4302,150,2.45
0.4302,150,2.46
0.4302,150,2.47
0.4302,150,2.48
0.4302,150,2.49
0.4302,150,2.5
0.4302,150,2.51
0.4302,150,2.52
0.4302,150,2.53
0.4302,150,2.54
0.4302,150,2.55
0.4302,150,2.56
0.4302,150,2.57
0.4302,150,2.58
0.4302,150,2.59
0.4302,150,2.6
0.4302,150,2.61
0.4302,150,2.62
0.4302,150,2.63
0.4302,150,2.64
0.4302,150,2.65
0.4302,150,2.66
0.4302,150,2.67
0.4302,150,2.68
0.4302,150,2.69
0.4302,150,2.7
0.4302,150,2.71
0.4302,150,2.72
0.4302,150,2.73
0.4302,150,2.74
0.4302,150,2.75
0.4302,150,2.76
0.4302,150,2.77
0.4302,150,2.78
0.4302,150,2.79
0.4302,150,2.8
0.4302,150,2.81
0.4302,150,2.82
0.4302,150,2.83
0.4302,150,2.84
0.4302,150,2.85
0.4302,150,2.86
0.4302,150,2.87
0.4302,150,2.88
0.4302,150,2.89
0.4302,150,2.9
0.4302,150,2.91
0.4302,150,2.92
0.4302,150,2.93
0.4302,150,2.94
0.4302,150,2.95
0.4302,150,2.96
0.4302,150,2.97
0.4302,150,2.98
0.4302,150,2.99
0.4302,150,3
0.4302,150,3.01
0.4302,150,3.02
0.4302,150,3.03
0.4302,150,3.04
0.4302,150,3.05
0.4302,150,3.06
0.4302,150,3.07
0.4302,150,3.08
0.4302,150,3.09
0.4302,150,3.1
0.4302,150,3.11
0.4302,150,3.12
0.4302,150,3.13
0.4302,150,3.14
0.4302,150,3.15
0.4302,150,3.16
0.4302,150,3.17
0.4302,150,3.18
0.4302,150,3.19
0.4302,150,3.2
0.4302,150,3.21
0.4302,150,3.22
0.4302,150,3.23
0.4302,150,3.24
0.4302,150,3.25
0.4302,150,3.26
0.4302,150,3.27
0.4302,150,3.28
0.4302,150,3.29
0.4302,150,3.3
0.4302,150,3.31
0.4302,150,3.32
0.4302,150,3.33
0.4302,150,3.34
0.4302,150,3.35
0.4302,150,3.36
0.4302,150,3.37
0.4302,150,3.38
0.4302,150,3.39
0.4302,150,3.4
0.4302,150,3.41
0.4302,150,3.42
0.4302,150,3.43
0.4302,150,3.44
0.4302,150,3.45
0.4302,150,3.46
0.4302,150,3.47
0.4302,150,3.48
0.4302,150,3.49
0.4302,150,3.5
0.4302,150,3.51
0.4302,150,3.52
0.4302,150,3.53
0.4302,150,3.54
0.4302,150,3.55
0.4302,150,3.56
0.4302,150,3.57
0.4302,150,3.58
0.4302,150,3.59
0.4302,150,3.6
0.4302,150,3.61
0.4302,150,3.62
0.4302,150,3.63
0.4302,150,3.64
0.4302,150,3.65
0.4302,150,3.66
0.4302,150,3.67
0.4302,150,3.68
0.4302,150.000000340895,3.69
0.4302,150.000261748459,3.7
0.4302,150.000932019579,3.71
0.4302,150.002020332315,3.72
0.4302,150.003520945615,3.73
0.4302,150.005412162893,3.74
0.4302,150.007694658207,3.75
0.4302,150.010352388685,3.76
0.4302,150.013376104596,3.77
0.4302,150.016758807378,3.78
0.4302,150.020494390065,3.79
0.4302,150.024575056072,3.8
0.4302,150.028956700052,3.81
0.4302,150.03367967672,3.82
0.4302,150.038707066959,3.83
0.4302,150.04404004472,3.84
0.4302,150.049668378332,3.85
0.4302,150.055582913654,3.86
0.4302,150.061774677478,3.87
0.4302,150.068237950152,3.88
0.4302,150.074962466873,3.89
0.4302,150.081944807894,3.9
0.4302,150.089170356783,3.91
0.4302,150.096645678953,3.92
0.4302,150.104344823681,3.93
0.4302,150.112273076712,3.94
0.4302,150.120417381287,3.95
0.4302,150.12877660577,3.96
0.4302,150.137339327637,3.97
0.4302,150.146103446117,3.98
0.4302,150.155058980286,3.99
0.4302,150.164203025318,4
0.4302,150.17352686915,4.01
0.4302,150.183026949003,4.02
0.4302,150.19269566693,4.03
0.4302,150.202528931213,4.04
0.4302,150.212520119541,4.05
0.4302,150.222664724899,4.06
0.4302,150.232956976815,4.07
0.4302,150.243392511273,4.08
0.4302,150.253966441722,4.09
0.4302,150.264673287587,4.1
